question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer
150120,01.12.2009,FINANCE,UNSTARRED,1261,MISS MABEL REBELLO,ELIMINATION OF FAKE CURRENCY FROM NATIONAL ECONOMY,"(a) whether Government is worried over the fake currency which is hurting the economy; (b) whether according to RBI estimates, the number of fake notes detected by the banking system in 2007-08 was 1,95,811 against 4,422.5 crore notes in circulation; (c) if so, whether the fake currency notes have been, largely detected in 2008-09; (d) if so, what are the total fake currency that have been detected during 2009 and whether it has been on increase; and ` (e) what concrete steps and measures Government proposes to take to eliminate the fake currency notes which are in operation in the country ?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a): RBI maintains that the volume of fake currency detected is negligible, at less than 0.001% (8 notes per million pieces) of the total notes in circulation, therefore, there is no serious threat to the economy on this account. (b): Yes, Sir. (c) & (d): RBI has informed that the number of counterfeit notes detected in the banking channel in 2008-09 (April-March) was 3,98,111 pieces. (e) The steps taken by the Government to curb circulation of Fake Indian Currency Notes (FICN) in the country include stepping up of vigilance by the Border Security Force and Custom authorities to prevent smuggling of fake notes; dissemination of information on security features through print and electronic media and formation of Forged Note Vigilance Cells in all the Head Offices of the banks. Additional security features have also been incorporated in the bank notes in 2005 to make counterfeiting very difficult. To strengthen the security of bank notes further, incorporation of latest security features is underway. A High Level Committee headed by the Union Home Secretary comprising officials from central agencies and other senior police officials has been constituted to monitor and draw a comprehensive strategy to combat FICN. Similar bodies have also been set up in the States. In addition. Government of India have nominated the Central Bureau of Investigation as the Nodal Agency to monitor investigation of fake currency note cases. The RBI has also strengthened the mechanism for detection of counterfeit notes by the Banks."
150121,01.12.2009,FINANCE,UNSTARRED,1266,SHRI K.E. ISMAIL,APPROVAL OF KOCHI METRO RAIL PROJECT,"(a) whether it is a fact that the. Ministry of Urban Development has proposed the Kochi Metro Rail Project, a joint venture of the Kerala State and the Centre for the approval of his Ministry for its implementation and sanction of the fund; and (b) if so, the details thereof and Government`s reaction thereto ?",MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) & (b): A proposal for the Kochi Metro Rail Project is yet to undergo due appraisal/approval process. No proposal is pending with Ministry of Finance on date.
150122,01.12.2009,FINANCE,UNSTARRED,1272,SHRIMATI T. RATNA BAI,DEMAND FOR NO DUES CERTIFICATE FROM FARMERS,"(a) whether Government is asking for no-dues certificate from the farmers who apply for loans; (b) if SO, the details thereof and the reasons therefor; and (c) what steps Government is taking in case of online applications in each State especially in Andhra Pradesh where farmers are facing such problems?","THE MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARATN MEENA ) (a) to (c): The Reserve Bank of India (RBI) through its circular No.RPCD/PLFS.BC.No. 85/05.04.02/2006-07 dated April 30, 2007 advised all banks to dispense with the requirement of `No Dues Certificate` (NDC) for small loans up to Rs.50,000 to small and marginal farmers, share-croppers and the like and, instead, obtain a self-declaration from the borrower. While lending to landless labourers, sharecroppers and oral lessees the banks may accept certificates provided by local administrator/Panchayati Raj Institutions regarding the cultivation of crops."
150123,01.12.2009,FINANCE,UNSTARRED,1273,SHRI N.R. GOVINDARAJAR,PARKING OF SURPLUS FUNDS WITH BANKS .,"(a) whether his Ministry has directed the Public Sector Undertakings (PSUs) to park their surplus funds with only public sector banks; (b) if so, thedetails thereof; (c) whether many Public Sector Undertakings like ONGC, BSNL, BHEL, NTPC and SAIL have moved his Ministry in this regard; and (d) if so, the details thereof?","The Minister of State in the Ministry of Finance (Shri Namo Narain Meena) (a) to (d): It was brought to the notice of the Government that there was an emerging practice amongst. Central Public Sector Enterprises (CPSEs) of inviting competitive bids for placing bulk deposits with banks. As a,consequence, there was undesirable competition amongst banks leading to arbitrary hikes in deposits rates. In order to avoid this undesirable competition, which have consequences for the economy, and considering the need to moderate the cost of credit, the Government of India has advised all Government of India Ministries / Departments / other agencies / entities / bodies of the Government that the practice of inviting competitive bids for bulk deposits should be discontinued forthwith and at least 60% of their funds be placed with the PSBs with whom they were doing a regular course of business. Some of the Ministries/CPSEs had represented to the Government to allow them to place their funds through competitive bidding. However, keeping in view all the relevant factors and` `that `the practice of placing deposits through competitive bidding has consequences for the economy, the Government has decided to continue with the above guidelines. Moreover, it was also felt that though these guidelines may lead to decrease in interest earning for some CPSEs, the move would benefit the economy at large including the borrowing CPSEs, dye to overall reduction in the cost of funds."
150124,01.12.2009,FINANCE,UNSTARRED,1276,Shri Naresh Gujral,TAX CONCESSION TO STATE .,"(a) whether Government has given 100 per cent tax concessions to the States of Himachal Pradesh, Uttarakhand and Jammu & Kashmir with a sunset clause; and (b) whether Government is planning to extend the time frame of these concessions?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI S.S. PALANIMANICKAM) (a): Yes, Sir. In respect of direct taxes, the Government has given 100 per cent tax concessions to the States of Himachal Pradesh, Uttarakhand and Jammu & Kashmir with a sunset clause. As far as indirect taxes are concerned, there is no time limit in respect of State of Jammu & Kashmir but there is a sunset clause in respect of the States of Himachal Pradesh and Uttarakhand. (b): Presently, the Government does not have any plan to extend the time-frame of these concessions."
150125,01.12.2009,FINANCE,UNSTARRED,1277,Smt. Jaya Bachchan,PENSION RELATED GRIEVANCES,"(a) whether it is a fact that the process of implementation of the recommendations of Sixth Pay Commission has generated heart burning among many pensioners, for e.g. in the grade of Joint Secretary who are drawing less pension than their juniors who retired as Directors about 5 to 10 years back; (b) whether the anomalous situation is due to miscalculation by banks or any other reasons: (c) whether Government proposes to look Into the matter; and (d) if not, the reasons therefor?","Minister of State in Ministry of Finance (SHRI NAMO NARAIN MEENA) (a) & (b): Pensioners who retired in the grade of Joint Secretary prior to 1.1.2006 and were drawing higher pre-revised pension than a pre-1.1.2006 pensioner who retired as Director, continue to draw higher pension after Sixth Pay Commission. Hence, no anomalous situation has arisen in this case. (c) & (d): Does not arise in view of reply to (a) & (b) above."
150126,01.12.2009,FINANCE,UNSTARRED,1279,Shri P. Rajeeve,LIMIT OF OPERATION OF NATIONALISED BANKS .,"(a) whether the operations of nationalized banks like State Bank of India (SBI) is limited to specific areas; (b) if so, whether it encourages the function ,of private banks in other areas; and (c) if not so, whether the allocation of student loan by SBI is limited to those who are living in Specific areas?","The Minister of State in the Ministry of Finance (Shri Namo Narain Meena) (a): No, Sir. (b): Does not arise. (c):The State Bank of India extends student loan throughout the country without any restrictions."
150127,01.12.2009,FINANCE,UNSTARRED,1283,DR. YOGENDRA P. TRIVEDI,PURCHASE OF GOLD BY RBI .,"(a) whether the Reserve Bank of India (RBI) recently purchased 200 tonnes of Gold from International Monetary Fund (IMF); and (b) if so, the reasons therefor?","The Minister of State in the Ministry of Finance (Shri Namo Narain Meena) (a) & (b): Yes, Sir. The Reserve Bank of India (RBI) has purchased 200 metric tonnes of gold from the International Monetary Fund (IMF) under the IMF`s limited gold sales programme. This has been done as part of RBI`s foreign exchange reserve management operations. The purchase has increased the ratio of gold holdings to that of foreign exchange with RBI."
150128,01.12.2009,FINANCE,UNSTARRED,1284,SHRI RAMA CHANDRA KHUNTIA,ALLOWANCES AND FRINGE BENEFITS FOR GOVERNMENT EMPLOYEES .,whether it is a fact that the Government employees and officers are not getting allowances and fringe benefits at par with nationalized bank although Hon`ble Supreme Court has given an order to give them salary. DA and other allowances at par with nationalized bank?,"MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) Central Government employees are granted pay and allowances based on the recommendations of successive Pay Commissions. The salary, DA and allowances applicable at present are based on the recommendations of the Sixth Pay Commission as accepted by the Government."
150129,01.12.2009,FINANCE,UNSTARRED,1285,SHRI MOINUL HASSAN,HARASSMENT OF COMMON INVESTORS,"(a) whether it is a fact that common investors are harassed by broker in trading and dematerialized account; (b) if so, whether Government is going to survey the Situation, and (c) whether Government would give any direction to Security and Exchange Board of India (SEBI) to look into the matter?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) The Securities & Exchange Board of India (SEBI) receives complaints against all registered intermediaries associated with Securities market including stock brokers and depository participants on-matters relating to trading and demat accounts respectively. The complaints from investors, as and when received by SEBI are forwarded to the concerned Stock Exchange and Depository, who are suitably empowered to resolve the grievances, for redressal. The complaints received by SEBI, do not indicate that common investors are generally harassed by brokers. (b) The stock exchanges and/depositories-have their own administrative mechanism for handling and redressing the investor1 complaints. In terms of the SEBI (Stock Brokers and Sub-Brokers) Regulations, 1992, the stock brokers are required to take adequate steps for redressal of grievances of the investors within one month of the date of receipt; of the complaint. Similar provisions exist under the SEBI (Depositories and Participants) Regulations, 1996 for grievances received against the depository participants. In case of violation of any rules, regulations and guidelines by the Stock Brokers and Depository participants, SEBI takes action against them in terms of the applicable Rules, Regulations, SEBI Act and Depositories Act, as warranted. SEBI also conducts special purpose inspections of the stock brokers and depository participants based on the complaints received against them. (c) It is the constant endeavour of the Government and SEBI to ensure smooth and efficient functioning of the stock exchanges & depositories. Complaints received by the Government from investors, as and when received, are forwarded to SEBI for appropriate action. SEBI has made it mandatory for the stock brokers to get their half yearly internal audit done by independent Chartered Accountants/ Companies Secretaries/ Cost & Management Accountants; which covers various areas including their investor grievance handling mechanism. With a `view to bring in more transparency in the grievance redressal available in the stock exchanges, SEBI has also directed stock exchanges to disclose all investor complaints and arbitration? details on their websites."
150130,01.12.2009,FINANCE,UNSTARRED,1240,SHRI BHAGAT SINGH KOSHYARI,PMRY IN UTTARAKHAND,"(a) the total amount of loan disbursed by the banks under Pradhan Mantri Rozgar Yojana (PMRY) in Uttarakhand since 2008-09 till date, bank-wise and year-wise; (b) whether any irregularities have been found in disbursement of loans; (c) if so, the details thereof; and (d) the action taken by Government against the defaulters?","( MINISTER OF STATE IN THE MINISTRY OF FINANCE ) ( SHRI NAMO NARAIN MEENA ) (a), (b), (c) & (d): The Prime Minister`s Rozgar Yojana (PMRY) has been merged with Rural Employment Generation Programme (REGP) with effect from 1st April, 2008 by Ministry of Micro, Small and Medium Enterprises (MSME) and a new scheme, namely, Prime Minister Employment Generation Programme (PMEGP) has been formulated. PMEGP is monitored by Khadi and Village Industries Commission (KVIC), Ministry of MSME. As reported by Reserve Bank of India , bank-wise details of the loan disbursed in Uttarakhand is not available. However, details of loans disbursed by implementing banks under PMRY for the years 2005-06, 2006-07 and 2007-08 in the State of Uttarakhand are as under: (Amount Rs. In lakh ) Programme Year Loans Disbursed Number Amount 2005-06 7584 5349.67 2006-07 7205 5201.36 2007-08 7737 6939.33"
150131,01.12.2009,FINANCE,UNSTARRED,1245,SHRIMATI T. RATNA BAI,INTERNAL DEBT SCENARIO .,"(a) whether the total internal debt was pegged at Rs. 3,60,000 crore for 2009-10; (b) if so, the details thereof; (c) the reasons for such debt, State-wise especially in Andhra Pradesh; and (d) the estimated debt for the current Five Year Plan?","MINISTER OF STATE IN THE (SHRI NAMO NARAIN MEENA) MINISTRY OF FINANCE (a): The internal debt of the Government of India is estimated at Rs.23,56,939.58 crore as per Budget Estimates 2009-2010. The total debt (Internal debt, external debt and other liabilities) of the Government of India is estimated at Rs.34,95,152 crore as per Budget Estimates 2009-2010. This does not include the State Governments debt. (b) The details of the total debt of the Government of India as per Budget Estimates 2009-2010 is as under: Amount in Rupees crore 1.Internal Debt (a)Market Loans 17,66,897.03 (b)Treasury Bills 1,97,882.23 (c)Market Stabilization Scheme 50,000.00 (d)Special Securities converted into Marketable Securities 97,626.70 (e)Securities against small savings 2,09,878.00 (f)Others 34,655.62 Total(a+b+c+d+e+f) 23,56,939.58 2. External Debt 1,37,680.69 3. Other Liabilities (National Small Savings Fund, State Provident Funds etc.) 10,00,531.73 Grand Total (Total 1+2+3) 34,95,152.00 Balance according to Book Value. (c): Total estimated debt of the 28 States including an amount of Rs. 1,26,996 crore pertaining to Andhra Pradesh, is Rs. 14,51,026 crore as on March 31, 2009. The loans of the State Governments are primarily to finance the developmental programmes. The break-up of State-wise debt is as follows:- Amount in Rupees crore 1 Andhra Pradesh 1,26,996 2 Bihar 53,277 3 Chhattisgarh 16,317 4 Goa 7,118 5 Gujarat 1,03,674 6 Haryana 32,062 7 Jharkhand 26,407 8 Karnataka 64,992 9 Kerala 64,801 10 Madhya Pradesh 61,370 11 Maharashtra 1,76,730 12 Orissa 44,666 13 Punjab 60,081 14 Rajasthan 83,051 15 Tamil Nadu. 84,825 16 Uttar Pradesh 1,88,197 17 West Bengal 1,46,563 18 Arunachal Pradesh 3,331 19 Assam 21,532 20 Himachal Pradesh 21,283 21 Jammu and Kashmir 24,800 22 Manipur 4,806 23 Meghalaya 3,278 24 Mizoram 3,634 25 Nagaland 3,836 26 Sikkim 2,036 27 Tripura 5,647 28 Uttar akhand 15,713 Total 14,51,026 (d): The projections of total debt (internal debt, external debt and other liabilities) of Government of India for the year 2010-2011 and 2011-2012 as stated in the Medium Term Fiscal Policy Statement laid before Parliament as part of the budget documents in July 2009, are given below: Amount in Rupees crore Year Amount 2010-2011 39,54,671 2011-2012 42,54,620"
150132,01.12.2009,FINANCE,UNSTARRED,1246,Smt. Jaya Bachchan,G AS FORUM FOR INTERNATIONAL ECONOMIC CO OPERATION,"(a) what were the important issues that were taken up during G20 Pittsburgh Summit which concluded recently; (b) whether Global Crisis Management was one of the items discusses there; (c) if so, the details thereof; (d) whether it is also a fact that Pittsburgh marked the emergence of G-20 as the premium forum for international Economic co-operation replacing G-7; and (e) whether Government is satisfied with the outcome?","MINISTER OF STATE IN MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) The G-20 Leaders` Summit in Pittsburgh discussed the following issues: 1. Framework for strong, sustainable and balanced growth 2. Progress and priorities on strengthening the International Financial Regulatory Systems 3. Reforms in the International Financial Institutions 4. Food, fuel and Finance for the poor of the world 5. Energy Efficiency and climate change 6. Putting Quality jobs at the heart of the recovery 7 An open Global Economy 8. Future role of the G 20 (b) Yes sir (c) The G20 Leaders` summit in Pittsburgh reviewed the progress made in managing global crisis and agreed to maintain steps to support economic activity until recovery is assured. The Leaders` further committed to take additional steps to ensure strong, sustainable, and balanced growth, to build a stronger international financial system, to reduce development imbalances, and to modernise architecture for international economic cooperation. The G 20 countries agreed for a framework for Strong, sustainable.and balanced growtrfand a mutual assessment process to assess Whether policies are consistent with the shared objectives. The Leaders.tasked the S 20 Finance Ministers to launch the framework and mutual assessment process in November 2009. There was a renewal of the commitment to carry on the.strengthening of the International Financial Regulatory System and not retAputo the .scenario, of banking as usual. To this end the 6 20 countries agreed to act together to raise capital standards, implement strong international compensation standards aimed at ending practices that leads to excessive risk taking, improve over the counter (OTCJ derivative markets, and to create powerful tools to hold large global firms having systemic significance to account for the risks that they take. The Leaders also agreed to take new steps to increase access of the world`s poor to food, fuel and finance and to rationalise and phase out over the medium term inefficient fossil fuel subsidies that encourage wasteful consumption while providing targeted support (for fuel) for the poorest. In addition, the Leaders have agreed to promote energy market transparency and market stability as part of a broad effort to avoiid excessive volatility The Leaders also committed to implementing recovery plans that support decent work, help preserve employment, andprioritize job growth and to provide income, social protection, and training support for the unemployed and those most at risk of unemployment.(d) Yes sir.(e) Yes sir."
150133,01.12.2009,FINANCE,UNSTARRED,1255,Dr. Abhishek Manu Singhvi,CREDIT TO AGRICULTURE AND ALLIED SECTOR .,"(a) whether a target of Rs. 3,25,000 crores has been set in 2009-2010 for credit to agricultural and allied sectors, up from Rs.2,87,000 crores during 2008-09; (b) if so, whether a random survey of ten PSU banks has shown that Non Performing Assets (NPAs) of between Rs.10,000 to Rs.15,000 crore exist; and (c) whether any new strategy is being evolved whereby NPAs could be reduced substantially during 2009-10 leaving aside the oft-spoken attitude that banks are striving to contain the level of their gross NPAs within acceptable limits?","THE MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a): Yes sir. Government of India has set a target of Rs.3,25,000 crore for 2009-10 as against Rs.2,80,000 crores during the year 2008-09 for credit to the agriculture sector. (b) & (c): The details of bank-wise outstanding advances and Non Performing Assets (NPAs) of Public Sector Banks (PSBs) as at the end of March, 2009 are at Annex. Government of India and Reserve Bank of India (RBI) have put in place a comprehensive legal and institutional framework for recovery of NPAs, which, inter-alia, include prudential norms for provisioning and classification of NPAs, guidelines for prevention of slippages, Corporate Debt Restructuring and other restructuring Scheme, One Time Settlement Schemes, the Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest (SARFAESI) Act, 2002 and the Recovery of Debts due to Banks and Financial Institutions (DRT) Act, 1993. The PSBs manage their NPAs and effect recoveries in these accounts in accordance with their recovery policies and RBI guidelines. As a result of the various measures adopted by the PSBs for recovery of their NPAs, the level of NPAs of PSBs has declined substantially. The gross NPAs of the public sector banks, which were as high as 17.8 per cent at end-March 1997, declined significantly to 2.08 per cent as at end-March 2009. The net NPAs of these banks declined from 9.2 per cent to 0.99 per cent during the same period."
150134,01.12.2009,FINANCE,UNSTARRED,1258,PROF. ALKA BALRAM KSHATRIYA,CIRCULATION OF FAKE CURRENCY .,"(a) whether Government has assessed the quantum of fake currency in circulation in the country; (b) if so, the details thereof; (c) whether `Economic Terror` which has been generated due to circulation of fake currency has affected adversely even on common man and crippled economy; and (d) if so, the concrete steps taken or proposed to be taken by Government to root out this Economic Terror?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) & (b): There are no estimates available for quantum of fake currency in circulation. However, as per the information furnished by the National Crime Records Bureau (NCRB), the details of quantum of fake currency seized and recovered for the last three years is as follows: Year Total (no. Of pieces) Total Value (in rupees) 2006 3,58,002 83,944,769 2007 3,87,525 1,05,418,925 2008 6,56,901 2,56,301,022 2009 (upto 30.9.2009) 2,47,995 90,764,200 (c): Reserve Bank of India maintains that the volume of fake currency is negligible, at less than 0.001% (8 notes per million pieces) of the total notes in circulation and, therefore, there is no serious threat to the economy on this account. (d): The steps taken by the Government to curb circulation of Fake Indian Currency Notes (FICN) in the country include stepping up of vigilance by the Border Security Force and Custom authorities to prevent smuggling of fake notes; dissemination of information on security features through print and electronic media and formation of Forged Note Vigilance Cells in all the Head Offices of the banks. Additional security features have also been incorporated in the bank notes in 2005 to make counterfeiting very difficult. To strengthen the security of bank notes further, incorporation of latest security features is underway. A High Level Committee headed by the Union Home Secretary comprising officials from central agencies and other senior police officials has been constituted to monitor and draw a comprehensive strategy to combat FICN. Similar bodies have also been set up in the States. In addition. Government of India have nominated the Central Bureau of Investigation as the Nodal Agency to monitor investigation of fake currency note cases. The RBI has also strengthened the mechanism for detection of counterfeit notes by the Banks."
150135,01.12.2009,FINANCE,UNSTARRED,1262,Dr. E.M. Sudarsana Natchiappan,PATTERN OF RURAL CREDIT,"(a) the details of pattern of increase in the rural credit in the country for last three years; (b) whether it is a fact that of all rural credit the credit in the non-agriculture segment has increased in recent years as compared to the agriculture credit; (c) whether the recent waiver of loans was confined only to the agriculture credit; and (d) if not, the details of waived agriculture and non-agriculture loans?","(MINISTER OF STATE IN THE MINISTRY OF FINANCE) (SHRINAMO NARAIN MEENA) (a) : As per information available, year on year growth in total rural credit by Scheduled Commercial Banks (SCBs) for the year 2007,2008 and 2009 is as under: Year Year-on-year growth (Approx.) 2007 21% 2008 18% 2009 14% Source: RBI (b): Data for non-agricultural rural credit is not available separately. However, total gross bank credit to agricultural and allied activities increased from Rs. 2,30,377 crore in 2007 to 2,75,343 crore in 2008 and to Rs. 3,38,656 crore in 2009. (c) & (d): The recent waiver of loans was confined to agriculture credit. Commercial Banks, Local Area Banks (LABs) and Urban Co-operative Banks have so far waived loans amounting to Rs. 18,523:33 crore (approximately) under Agricultural Debt Waiver and Debt Relief Scheme, 2008 (ADWDRS) while Co-operative Banks and Regional Rural Banks have so far waived Rs. 23,566 crore under the scheme as per preliminary claims submitted by them. The banks still have time to prefer claims for `debt relief with RBI/NABARD under the scheme."
150136,01.12.2009,FINANCE,UNSTARRED,1265,Shri Nand Kumar Sai,CLIMATE CHANGE ISSUE IN G SUMMIT .,"(a) whether G-20 Finance Ministers meet was held in the recent past; (b) if so, whether G-20 has included climate change issue which India and other developing countries has already opposed in United Nations (UN) in the agenda without any consultation with these countries; (c) if so, the details thereof; (d) whether the Government has put their stand in the said G-20 Finance Ministers conference; and (e) if so, the details thereof?","MINISTER OF STATE IN MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) Yes sir. The G20 Finance Ministers met in London (4-5 September 2009) and then in St Andrews (6th - 7th November 2009). (b) Climate Change Financing has been discussed as an agenda of G20 Finance Ministers meeting both in London (4-5 September 2009) and then in St Andrews (6th and 7th November 2009). (c) The need to address climate change has been mentioned in the G 20 Leaders Statements in the Washington Summit (November 2008), London Summit (April 2009) and Pittsburgh Summit (September 2009). In the Pittsburgh Summit the Leaders asked the G 20 Finance Ministers to work on a range of possible options for climate change financing to be provided as a resource to be considered in the UNFCCC negotiations at Copenhagen. The G ` 20 Finance Ministers have been deliberating upon the financing options for climate change. (d) Yes sir (e) The following stand has been taken by India: 1) The primacy of UNFCCC has to be upheld. 2) Substantial funds are required for climate change. 3) Climate finance should be anchored in the well-established principles of equity and `common but differentiated responsibilities and respective capabilities` articulated in the UN Framework Convention on Climate Change and the roadmap set out in the Bali Action Plan. 4) Providing finance for addressing the needs of developing countries to address climate change is a commitment of the Annex I Parties under the UN Framework Convention on Climate Change. 5) Any discussion on climate finance has to recognise the distinction between Annex I and non-Annex I countries and the principles, objectives and provisions of the Convention. 6) Private finance would need to be leveraged to augment public resources. However, we must remain cautious about placing our trust fully on the market mechanism. One of India`s primary concerns is that the funds available for mitigation and adaptation should be reliable, predictable and sustainable and that carbon trading may therefore not be the `silver bullet` for addressing climate change. 7) Public funds from developed countries have to be the main source of Climate Change Finance and resources have to be essentially grant based. 8) Right institutions within the UNFCCC to help deliver on the promise of funding the mitigation and adaptation should be created. Finally, the G-20 FMs agreed to commit to work towards an ambitious outcome in Copenhagen within the objective, provisions and principles of the UNFCCC. The G20 Finance Ministers also agreed to take forward further work on Climate Change Finance, to define financing options and institutional arrangements."
150137,01.12.2009,FINANCE,UNSTARRED,1271,SMT. JAYANTHI NATARAJAN,MEETING THE TARGET OF AGRICULTURE CREDIT .,"(a) whether it is a fact that most of the Public Sector Banks have failed to achieve the mandatory 18 per cent credit to agriculture sector; (b) if so, the details thereof for the last three years, year-wise and bank-wise; (c) the reasons for the non achievement of disbursal of agri-loan by these public sector banks; and (d) what remedial measures Government has taken or proposes to take in this regard?","THE MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRINAMO NARAIN MEENA) (a) to (d): The Government of India has taken several steps to ensure the smoother flow of credit to the agriculture sector. As a result the banks have exceeded the targets set. The details of targets fixed and achieved in respect of agricultural credit flow by all banks during the years 2006-07 to 2008-09 are as follows: (Rs. Crore) Year Target Achievement 2006-07 1,75,000 2,29,400 2007-08 2,25,000 2,54,657 2008-09 2,80,000 2,87,149 Provisional figures upto March, 2009 Public Sector Bank-wise statement indicating the percentage of total agricultural advance Adjusted Net Bank Credit (ANBC) for the year 2007, 2008 and 2009 as per Reserve Bank India information is given at Annex. The shortfall in lending to agriculture and/or to the priority sector by scheduled commercial banks is contributed through Reserve Bank of India (RBI) to a corpus called the Infrastructure Development Fund (RIDF) operationalized by NABARD in 1995-96 to fn ongoing rural infrastructure projects."
150138,01.12.2009,FINANCE,UNSTARRED,1274,DR. K. MALAISAMY,AUSTERITY MEASURES TAKEN BY GOVERNMENT .,"(a) the areas of austerity measures undertaken and being undertaken by the present UPA Government; (b) the extent of total expenditure every year by the UPA Government; (c) the extent of savings made so far; and (d) the share of expenditure for the establishment charges in terms of salaries, other allowances and perquisites every year?","MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a): Ministry of Finance has vide Office Memorandum dated 7th September, 2009, advised all Ministries/ Departments, inter alia, to effect mandatory cuts in Non-Plan expenditure under various heads and also issued instructions related to domestic & foreign travel, purchase of vehicles, holding of seminars and conferences etc. (b): The net expenditure by the UPA Government for the year 2004-05 is Rs. 4,98,252 crores, 2005-06 is Rs. 5,05,738 crores, 2006-07 is Rs.5,83,387crores, 2007-08 is Rs. 7,12,671 crores, 2008-09 (Provisional) is Rs.8,81,469 crores. (c): Information relating to the amounts saved so far will be available with the Ministries/ Departments and their attached / subordinate offices. (d): The travel expenses excluding Defence Services Personnel .and Railways, areas fallows: Pay Allowances Travel Expenses Actuals 2004-05 10368.46 9316.91 894.80 Actuals 2005-06 10507.81 10238.15 1053.49 Actuals 2006-07 10791.73 11533.89 1084.04 Actuals 2007-08 12958.44 12098.57 1204.63 Revised Estimates 2008-09 26140.14 13421.42 1372.36 B«idget Estimates 2009-10 331162.91 16579.03 1949.67 (In crores of Rs.)"
150139,01.12.2009,FINANCE,UNSTARRED,1275,SHRI SHANTA KUMAR,EMBER FOREIGN LOANS,(a) The total amount of foreign loans of various kinds on Government upto the year 2007-08; (b) the amount being paid as interest on these loans every year; and (c) the year-wise ratio of increase in this loan during last three years?,"THE MINISTER OF STATE IN THE MINISTRY OF FINANCE (SHRI NAMO NARAIN MEENA) (a) Total amount of foreign loans outstanding under external assistance on Government account up to the year 2007-08 is as under: Table 1: External Assistance Outstanding on Government Account as at end-March 2008 (PR) (US$ million) Total amount outstanding (A+B) 52,538 A. Multilateral 36,170 B. Bilateral 16,368 PR: Partially Revised (b) The interest payment on these loans was US$ 706 million, US$ 895 million and US$ 917 million during 2005-06, 2006-07 and 2007-08, respectively. (c) The rate of increase in these loans during last three years is as under: Table 2: Variation in External Assistance Outstanding on Government account over previous year as at end-March (per cent) 2006 -0.4 2007 R 6.1 2008 PR 13.8 R: Revised; PR: Partially Revised."
150140,08.12.2009,FINANCE,UNSTARRED,2016,Shri Amar Singh,ACQUISITION OF SHARES BY TELENOR,"(a) whether Government has recently given clearance to the Norwegian telecom giant Telenor to acquire 74 per cent stake in Unitech group of companies; (b) if so, the details thereof; (c) whether it is a fact that this proposal had been vehemently opposed by the Ministry of Home Affairs on the ground that the Norwegian company has been operating in Pakistan and Bangladesh; (d) if so, the details thereof; and (e) under what circumstances the proposal has now been cleared by Government?","Minister of State in the Ministry of Finance (Shri Namo Narain Meena) (a) & (b) : Yes, Sir. Government has given clearance to M/s. Unitech Wireless (Tamil Nadu ) Private Limited, and to seven licensee companies viz., Unitech Wireless (North ) Private Limited; Unitech Wireless ( South) Private Limited; Unitech Wireless (Kolkata) Private Limited; Unitech Wireless (Delhi) Private Limited; Unitech Wireless (East) Private Limited; Unitech Wireless (Mumbai) Private Limited; Unitech Wireless (West) Private Limited for foreign investment of upto 74% (initially to 67.25%) by M/s. Telenor Asia Pvt.. Ltd. Singapore for carrying on the activities of providing Unified Access Services. (c) to (e): No, Sir. Ministry of Home Affairs(MHA) never opposed the proposal. After 4 (four) deferments for examining the proposal, MHA communicated their support to the proposal subject to the condition that no personnel who has worked in Telenor, Pakistan, should be allowed to work in Indian company. The condition was duly incorporated in the approval letter."
150141,08.12.2009,FINANCE,UNSTARRED,2020,SHRI MANGALA KISAN,FIXATION OF PAY FOR TEACHERS,"(a) whether Government is aware of anomalies after fixation of pay, especially in cadre of teachers (like TGTs) due to Sixth Pay Commission resulting in juniors/new appointees drawing more pay than their seniors; (b) if so, what steps Government have taken to rectify the anomalies; and (c) by when the pay of seniors would be brought at par with that of their juniors and arrears paid?","SHRI NAMO NARAIN MEENA Minister of State In Ministry of Finance (a), (b) & (c): On receipt of references from Some administrative ministries, including Ministry of Human Resources Development, which specifically related to School Teachers, Department of Expenditure has clarified that stepping up of pay of seniors can be permitted with reference to their directly recruited juniors subject to certain conditions."
