sentiment,question,aspect,from,to
1,details of deaths occurred due to sunstroke heat and cold in the country during the last three years,last,84,88
1,whether in the wake of mumbai terror attacks and the recent alerts government has taken a number of measures for strengthening coastal security,attacks,37,44
1,whether it is a fact that the funds to be sanctioned under the repair restoration and renovation of water resources scheme is under consideration of government for clearance,water,100,105
2,whether there has been increase in crimes against sc st in the past one year and if so the details thereof,year,72,76
1,whether it is a fact that government has decided to run only seven public sector banks in the country,banks,81,86
0,whether it is a fact that no commercial operations are taking place from shimla airport since september 2012,airport,80,87
1,whether government has seen a recent unicef survey report which states that almost all states across india have performed poorly in reducing the number of underweight and stunted children during last years,last,195,199
2,how successful had been the national small industries corporation nsic in encouraging people to take entrepreneurship in the past five years,years,135,140
2,whether the state government of goa has approached the central government to grant financial package to those affected by closure of mines in goa,mines,133,138
0,whether lack of sanitary facilities are linked to malnutrition,malnutrition,50,62
1,whether government has launched mobile based money transfer service by post offices in the country for quicker transfer of money from one city to another,mobile,32,38
1,whether government has received any proposal for revival of metal industry leather craft and shawls of chamba from himachal pradesh state handicrafts and handloom corporation,industry,66,74
1,a the details of power generated by the nuclear power plants situated in the country location wise,power,17,22
2,the steps taken by government for the rehabilitation of manual scavengers and their families including the details of skill training provided to them along with the number of beneficiaries covered and funds spent there under during each of the last three years and the current year state wise,last,244,248
1,the current estimates of polio incidence in the country,current,4,11
1,whether it is a fact that there was advance booking on large scale for aakash tablet and the students of colleges in delhi have deposited advance amount for it along with the details thereof,students,93,101
2,whether government has identified certain non metro airports for development in the country,airports,52,60
1,whether it is a fact that railways could not achieve several targets set over the past two years towards development of railway land and modernisation of facilities in railways despite having enough funds,railways,26,34
1,whether government would fulfil the demand of the people for construction of roads jalwari maghara link road jalwari kailu link road bakhuli nandla and road from amboi to tiproli in chirgaon tehsil in shimla district of himachal pradesh,roads,77,82
2,whether it is a fact that there is a prime ministers special scholarship scheme for students,students,84,92
1,whether the customs authorities at chennai port has recently detained a huge consignment of toxic wheat imported from australia,wheat,98,103
1,the details of bridges constructed over various national highways in the country during last two years as on date,last,88,92
1,whether government has taken up with the chinese government the incidents of intrusions by chinese troops into indian airspace if so the details thereof,troops,99,105
1,whether plantation drives are proposed to be launched to control air pollution and prevent soil erosion in coal mines and its surrounding areas in the country,coal,107,111
1,the investment made during the eleventh five year plan for the development of irrigation facilities in the country state wise,year,45,49
1,the detail of on going rail line projects in karnataka during the last three years indicating total number of over under bridges and manned unmanned crossings built therewith,last,66,70
1,the details of coal bearing states in the country,coal,15,19
0,the number of complaints received by government regarding replacement of old or damaged water meter in delhi especially rama krishna puram,water,88,93
0,whether government is aware that domestic carriers have formed a price cartel and exploiting the levy of fuel surcharge on cargo by not applying a rational policy mechanism for the same,carriers,42,50
1,whether it is a fact that there has been a sharp decline in job offers in the country during the last five years,last,97,101
1,whether it is a fact that arrival of foreign tourists have considerably decreased during the last three years,last,93,97
0,whether the bharat heavy electricals ltd bhel has received an order for the supply of anti fog porcelain disc insulators from the power grid corporation of india,power,130,135
1,whether government is proposing to establish rooftop solar power plants in the country and recently inaugurated a rooftop power plant in jharkhand and if so the details thereof,solar,53,58
1,the details of uranium reserves found in the country during the last three years and current year location wise and statewise till date,last,64,68
2,the current sanctioned filled vacant posts of judges in the supreme court aridhigh courts in the country,court,68,73
2,whether improved facilities for passengers like e catering e bed roll etc have been launched by railways recently if so the details thereof,railways,96,104
0,the extent of loss incurred by the country in coal mine allocation process adopted by the previous government,coal,46,50
2,whether it is a fact that a flatbed truck carrying huge granite monolith crashed through a railway level crossing near madakasira in anantapur district of andhra pradesh just as the bengaluru nanded express train was passing through and rammed the side of the carriage,railway,91,98
2,whether 19 commercial banks penalized by rbi for contravention of various instructions issued by rbi in respect of derivatives have complied to penalties imposed on them,banks,22,27
2,the details of the number of satellites launched by india during the last three years,last,69,73
1,whether due to excessive use of mobile phones mental and physical diseases in the people are being caused as its side effects,mobile,32,38
2,whether approval of the central government is anticipated for the proposal of chhattisgarh government for the 27 items of works pertaining to 893 70 km long road under road requirement plan rrp phase ii in lwe areas,km,149,151
1,the number of national highways passing through jharkhand along with their length national highways wise,highways,23,31
0,the number of criminal cases registered during the past two years,years,60,65
1,the details of projects or works along with the locations thereof and the amounts involved therein under the members of parliament local area development scheme mplads in manipur during the last three years district wise till date,last,190,194
1,whether government has auctioned about 21 mining leases and these minerals blocks have a cumulative resource value around rs 94 000 crore,mining,42,48
1,the number of central universities which have actually started functioning after the establishment of 14 central universities in the country and appointment of vice chancellors in these universities,universities,22,34
1,the procedure for identification of roads for construction under pmgsy in general and scheduled areas,roads,36,41
1,the number of direct flights to international destinations from various airports of the country introduced and withdrawn during the last three years and current year,last,132,136
0,whether the central government proposes to include the issue of river water in the union list for the solution of the problems of potable water and irrigation by taking it seriously so that permanent solution to problems of needy people of the country regarding potable water and irrigation could be solved,river,64,69
0,the details of the cases of terrorist attacks in the country after 15th august 2016 till date state wise,attacks,38,45
2,whether government has any plan to boost generation of renewable energy in the country,generation,41,51
1,a whether government proposes to amend labour legislation to reduce number of hazardous fields that cannot employ children if so the details thereof,children,114,122
1,whether it is a fact that the state run ntpc has joined a select group of global peers who span the entire fuel chain i e coal gas hydro power and renewable sources for generating greener electricity,ntpc,40,44
1,the number of air strips in madhya pradesh built without taking care of safety standards and whether the land matter for naugaon air strip at chhatarpur is stuck between defence and civil aviation ministries,air,14,17
1,the number of centrally aided schools being run in the country and the number of such schools in karnataka apart from the kendriya vidyalayas,schools,30,37
2,whether it is a fact that the supreme court had ordered to cancel 122 licences of different telecom companies within four months against the allegations of corruption which took place due to financial irregularities,court,38,43
0,whether it is a fact that a nexus between islamic state is and various naxal groups of the country has come to notice as supporters in country have been caught trying to carry out a big attack in the country by taking training and weapons from the naxalites,naxalites,248,257
1,whether railways have increased tatkal charges substantially in all categories if so the details thereof,railways,8,16
1,whether railways have failed to improve railway services in kangra valley if so the reasons therefor,railways,8,16
1,whether ministry has any mechanism to detect undervaluing of parcel rates in railways,railways,77,85
1,whether funds were provided for maintenance of national highways in west bengal maharashtra and uttar pradesh from 2014 to 2017,highways,56,64
0,whether national investigation agency has taken over the case of bomb blast which occurred in the month of october last year in the town of margao,last,115,119
1,whether it is a fact that government has allocated coal mines to central and state public sector undertakings,coal,51,55
1,whether it is a fact that due to deficient monsoon there is mismatch between demand and supply of pulses in the country during the current financial year,pulses,98,104
1,the details of financial assistance provided to ngos under the national literacy mission nlm during the last three years state wise,last,104,108
1,whether it is a fact that railways are considering to introduce solar powered trains soon,railways,26,34
1,whether the national council for teacher education ncte has any plan to ascertain that teacher training education colleges in the country have suitably qualified and experienced staff for the job,teacher,33,40
1,whether government has utilized the allocated budget for modernization of armed forces during the last few years and the current year,last,98,102
1,whether there is any plan to develop buxar railway station in bihar in view of its religious historical and ancient legacy,railway,43,50
1,whether ponnai kuttippuram stretch of national highway 17 in kerala has not been constructed so far,stretch,27,34
1,whether the competition commission of india cci has investigated the issue of cartelization in various sectors such as pharmaceutical cement telecom etc,telecom,141,148
0,whether government has failed to protect consumers from high electricity tariffs despite huge profits earned by power producers,electricity,61,72
0,whether any indian diplomat accused of misbehaving with a female co passenger on a new york bound ai flight has been called back,ai,98,100
1,whether government has openedashram schools for students belonging toscheduled tribes in the country,schools,36,43
1,the funds allocated for research and development in defence sector during the last three years and the current year,last,78,82
2,whether it is a fact that a decision on captive mining firms has been taken and according to it they would be required to spend five per cent of their profits on local development,captive,40,47
1,the total wasteland in the country state wise,wise,41,45
2,whether the life insurance corporation of india lic is buying preferential allotments of shares of public sector banks psbs at higher listed prices,banks,113,118
1,whether government has considered to provide the right to choose english hindi or local language as medium of instruction in government schools to students,schools,136,143
1,whether it is a fact that the mobile network services of government telecom companies mtnl bsnl does not work properly in the entire country and even indelhi as compared to that of the private telecom companies,mobile,30,36
2,the details of sanctions under accelerated power development and reforms programme apdrp and r apdrp grants and incentives under apdrp till date state wise,power,43,48
2,whether it is a fact that rs 83 000 crore has been given credit by nationalized banks for minorities,credit,57,63
0,whether it is a fact that a large number of women at an advanced stage of their pregnancy are denied admission particularly when they are in labour pains by many hospitals on one pretext or the other,admission,101,110
1,whether government has any proposal to set up a sub regional centre of rice paddy research centre in naira srikakulam district andhra pradesh post bifurcation,rice,71,75
0,whether government has inspected conducted any survey of the roads and bridges which were destroyed and washed away in various parts of uttarakhand in recently occurred massive disaster flood in the state,roads,61,66
0,whether it is a fact that there were serious allegations that border security force personnel tortured adivasis in chhattisgarh into confessing that they were maoist cadre: b if so the details thereof,maoist,159,165
1,whether it is a fact that many of the mega food parks which were conceived during the eleventh five year plan are still non starter if so the details thereof,five,95,99
1,whether use of children in different programmes by tv channels and attempts by guardians to make them earn money are not exploitation of children,children,15,23
2,the current status report of those agreements signed under paris climate agreement and to be implemented in the country,paris,59,64
2,whether government has decided to set up a testing laboratory to facilitate and address concerns on security related issues pertaining to the telecom sector,telecom,142,149
0,the state wise details of naxalite attacks in the country since may to july 2013 so far,naxalite,26,34
1,whether government has any plans to supply onion through pds in rural villages,onion,43,48
1,whether state government of karnataka has proposed taking up of rail projects namely shimoga harihar 84 kms whitefield kolar 52 kms davangere tumkur 210 kms gadag haveri 84 kms gadag wadi 252 kms,kms,104,107
0,the number of patients suffering from sickle cell anaemia in chhattisgarh and the details thereof for the last three years,last,106,110
0,whether it is a fact that terrorists are trying every day to infiltrate into the indian territory from the jammu and kashmir border and once they are in they attack the indian army camps,terrorists,26,36
1,whether it has come to the notice of the ministry that tele callers are circumventing do not disturb rules and finding new ways and means to call customers,customers,146,155
1,a : the details of revenues in the shape of the central taxes collected from the state of punjab directly or indirectly during each of the last three years,last,139,143
1,whether it is a fact that the battalions of rapid action force raf of crpf are stationed in some states of the country if so the details of these states,crpf,70,74
1,whether government moots more power for reserve bank of india rbi in financial benchmarks,rbi,62,65
0,whether children of ne region are among the worst performers i e there is a poor show of such children and they rank below other using indicators i e child labour health education etc,children,8,16
1,the details of the budgetary allocation for the rashtriya krishi vikas yojana rkvy in the last five years yearwise,last,90,94
0,whether government has noticed about the indian banks association s iba decision denying education loan to students admitted in management quota,students,107,115
1,whether it is a fact that aircraft acquisition in bsf is need based availability of funds and as per prescribed procedure,bsf,50,53
2,cases registered under dowry prohibition act 1961 and section 304 b of ipc separately and their disposal during the last three years state wise percentage increase challan and conviction,last,116,120
1,the number of foreign companies with whom memorandum of understandings have been signed during the years 2012 13 2013 14 and 2014 15,years,99,104
1,whether a large number of deaths have occurred due to use of contaminated drinking water in the country particularly in western maharashtra,drinking,74,82
1,whether railways proposes to set up wind mill power plants in various parts of the country,power,46,51
2,whether it is a fact that not even a single indian university figures in the latest list of top 200 universities in the world,universities,100,112
1,whether government has fixed the minimum norm for providing drinking water in rural areas at 40 litres per capita per day lpcd to meet the needs of drinking cooking bathing washing utensils and ablution based on basic minimum needs,drinking,60,68
1,the total quantum of paddy rice wheat and other agriculture produces procured by food corporation of india fci along with the number of farmers benefited therefrom during each of the last three years and the current year state wise,last,183,187
1,whether it has been decided that from 1 april 2012 the validity of cheques and drafts would be reduced to three months,three,106,111
0,whether it is a fact that in comparison to our neighbouring countries the problem of anaemia is very acute in our country,anaemia,85,92
1,whether government is aware that road deaths and injuries in the country cost at least ? 1 lakh crore per year,road,33,37
2,how many fighter aircrafts are to be purchased from russia as per the recent agreement between both the countries,russia,52,58
2,whether it is a fact that the ministry in june 2010 has released guidelines for off grid and decentralized solar applications and roof top and other small solar power plants,solar,107,112
0,whether government is aware of the aggravating incidents of failures and accidents in nuclear power projects,power,94,99
1,the number of students that have availed the education loans from national scheduled castes financial and development corporation nscfdc during the last three years with the details of courses and states,last,148,152
2,whether government is aware that there is a great scope to create jobs in tourism sector in kerala,tourism,74,81
0,the reasons for not installing amrit technology arsenic and metal removal indian technology in worst affected states of uttar pradesh and bihar for treatment of arsenic and fluoride in drinking water so far,arsenic,48,55
2,the total number of tejas mark 1 a fighter aircrafts manufactured in india under the make in india programme of government for induction into the indian air force to make up for shortage of fighter planes in the fleet,aircrafts,43,52
1,the number of tourism projects sanctioned by government to odisha during 2012 13,tourism,14,21
0,whether government did not take adequate security measures after loss of lives and property in stampede took place at new delhi railway station on 13 november 2004,railway,128,135
1,whether it is a fact that government has decided to provide separate toilets for boy and girl students in all the schools of the country within a time frame,students,94,102
1,whether government has directed banks to carry out forensic audits of the main defaulters in view of the rising npas of psu banks,banks,32,37
2,whether it is a fact that railways have sought funds from ministry of finance to create a separate safety fund to ensure safety operations in railways if so the details thereof,railways,26,34
1,whether it is a fact that domestic air travel is going up 30 per cent and there is also a sharp decline in jet fuel prices,air,35,38
1,a whether india has finalised the civil nuclear deal with uk if so the details thereof and if not the reasons therefor,uk,58,60
2,the criteria laid down for awarding of road projects under the public private partnership ppp mode and the number of ppp projects sanctioned during the last three years and the current year,last,152,156
1,the updated status of action taken by the ministry in coordination withministry of communications and information technology on the issue ofmobile sim cards illegally obtained on forged documents,sim,147,150
1,the total number and names of universities that are presently being run in government and private sector,universities,30,42
0,how many complaints have been received by the national human rights commission nhrc during the last three years regarding human rights violation in haryana chandigarh and delhi,last,95,99
2,the details of quantum of grants given by the central government for solar projects in rajasthan,solar,69,74
2,whether it is a fact that sharp increase in passenger fares is being contemplated to bring railways in profit,passenger,44,53
0,whether it is a fact that 80 per cent of the country`s power plants face the risk of a default due to coal shortage and environmental issues and if so the details thereof,power,55,60
0,whether the university grants commission has directed the universities to verify the certificates of practicing advocates in the wake of large scale complaints of fake law degrees,universities,58,70
1,whether it is a fact that government had announced to provide drinking water facility through tap in every household of the country,drinking,62,70
2,whether government is aware that there have been cases of theft in railways of passengersa goods and well organized gangs operate from certain stations,railways,67,75
2,the number of domestic and international flights being handled at mumbai and delhi airports respectively on an average every day,flights,41,48
1,the funds provided to panchayats for the development of villages in various states and union territories including karnataka during each of the last three years and the current year state ut wise,last,144,148
1,whether the ministry is aware of the reported incident of looting in train no 12617 mangala express at bina on 10 july 2014,train,69,74
2,whether railways have entered into any agreement with google for providing highspeed wi fi facility at railway stations,railways,8,16
0,whether it is a fact that coal india limited cil is struggling to sell all the coal it currently produces if so the reasons therefor,coal,26,30
2,whether it is a fact that railways are considering to make the terms more attractive for investors who wish to make investment in the public private partnership ppp model for redevelopment of railway stations,railways,26,34
1,the details of budget allocation to the ministry during the last year and the current year along with the details of fund unutilized during the last five years and the current year so far,last,60,64
0,whether government is aware of the illegal mining in different parts of the country,mining,43,49
1,whether government has put in place a road map for setting up of chain of cold storages in rural areas of west bengal and rest of the country if so the details thereof,road,38,42
1,whether it is a fact that various railway projects initiated by government since 2009 would generate over 10 lakh jobs,railway,34,41
1,the amount sanctioned and utilised for various developmental schemes under the ministry in kerala during each of the last three years,last,117,121
1,whether it is a fact that the total forest area in the country is decreasing every day although the satellite picture shows more forest area which may include coal fields sugarcane fields etc which are not actually forest,coal,159,163
1,whether all types of required survey regarding double tracking of konkan railway route have been completed,railway,73,80
1,whether indira gandhi international airport is going to get a new air traffic control tower with state of the art equipment,airport,36,43
1,whether it is a fact that sex ratio at birth has dipped by three points in the last two years across the country,three,59,64
1,the total length of the state highways and major district roads in the country as of now with state wise details pertaining to the state of tamil nadu,length,10,16
2,the amount of funds allocated released and utilized under the national family benefit scheme nfbs during each of the last three years and the current year state wise including himachal pradesh,last,117,121
1,whether the integrated child development services icds scheme has failed to protect children from malnourishment and to provide mothers with nutritional supplements,child,23,28
0,whether executing agencies of road projects explored the possibilities of constructing foot over bridges pedestrain underpasses on national highways to prevent accidents as asked by the government on 11th april 2016,road,30,34
0,how many complaints have been registered by government railway police during 2011 15 regarding thefts of passengersa belongings unauthorised entry and occupation of floor space for overnight travel in sleeper coaches all over the country,railway,55,62
1,whether there is no specific law governing the wind energy sector and that this sector comes under the purview of the generic electricity act 2003 b if so the reasons therefor,energy,52,58
1,whether it is proposed to evolve one system for rating of air broadcasts across all broadcasting sector,air,58,61
1,the details of funds sanctioned and spent on national literacy mission nlm during the years 2010 11 and 2011 12 state wise and year wise,years,86,91
2,what are the details of the various news items regarding cbi cases against national highways authority of india nhai officials and the fact that huge corruption has been detected,highways,84,92
0,the plant wise and year wise number of accidents both fatal and non fatal in the integrated steel plants both in the public and private sectors during last three years,last,151,155
1,the number of irs officers of sc and st category including details of those working as chairman and members of the railway board during the last ten years upto january 2017 year wise,last,140,144
1,whether government has allocated fund to introduce a<u+0080><u+0098>mahatma jyotirao phule expressa bound to pune a<u+0080><u+0098>ambedkar expressa passing through mhow in madhya pradesh and a<u+0080><u+0098>chhatrapati sahuji maharaj expressa bound to kolhapur for which a demand was made during the discussion on railway budget 2013 14,railway,316,323
1,the details of coal imported in the country during the last three years year wise and country wise,last,55,59
0,whether it is a fact that passenger service fee psf is charged as part of passenger fare of air travel,air,92,95
2,a whether it is a fact that the undivided andhra pradesh had submitted a proposal for laying a new railway line by giving land free of cost between pandurangapatnama and bhadrachalam,railway,99,106
0,whether government is aware that many silk weavers in magadi karnataka have lost their eyesight in the last six months after coming into contact with chemically treated silk yarn,last,103,107
0,whether there is any proposal to develop some railway stations as green stations to achieve zero waste discharge from trains starting from and terminating there,railway,46,53
1,a whether government has undertaken any study to review examine the existing labour laws policies in the country during the last two years,last,124,128
1,whether the fall in siang river upto abnormal level is due to diversion of the river in upper reaches in china and the central water commission cwc has visited the area and exchanged the data with the chinese authorities,river,26,31
0,whether it is a fact that there have been some reports about money laundering and foreign exchange rule violations in some telecom companies in the country,telecom,123,130
1,how much revenue out of the publicized figure of rs 2 lakh crore from coal auction has been received till date block wise,coal,70,74
2,whether it is a fact that maharashtra is the second largest state in generating wind energy in the country,generating,69,79
1,the number of multi state cooperative societies registered during the last three years across the country statewise,last,70,74
0,whether government is providing cashless treatment to road accident victims on certain stretches of national highways,road,54,58
1,the total amount of advertisements issued to different language newspapers by organizations coming under ministry of railways regional railways during financial years 2004 05 to 2008 09,years,161,166
1,whether government has begun the process of procuring 60 000 additional doses of antiviral drug oseltamivir and 10 000 special masks and diagnostic kits for detection of the h1n1 virus as the number of confirmed cases of swine flu in the country so far climbed to the highest level in the last five years,years,299,304
1,the targets for construction of model stations adarsh stations and world class stations during the last three years year wise,last,99,103
2,whether government has schemes under the total sanitation campaign tsc to provide girl friendly toilets at high schools in the country,schools,112,119
1,whether it is a fact that government has accorded sanction for the indore dahod and dhar chhota udaipur railway line,railway,104,111
2,whether the village cooperative societies are disbursing the crop loans to farmers and waiving interest for those making repayment before the time,loans,66,71
1,whether it is a fact that as per 2001 census there are more than 65 lakh persons with disability in the country within the age group of 5 19 years,years,141,146
1,whether prisoners undergoing life imprisonment used to be released after completion of fourteen years of sentence earlier but now after the supreme court judgement such prisoners have to remainin jails till their last breath,years,96,101
1,the details of projects under rajiv gandhi grameen vidyutikaran yojana rggvy including rural electrification infrastructure in various districts of maharashtra and chhattisgarh and the number of families benefited under this scheme,rajiv,30,35
1,how much solar power is being currently generated in the country,solar,9,14
2,whether it is a fact that those companies with power purchase agreements but without a letter of assurance would bid at 20 per cent above the coal india limited price,power,47,52
1,whether the central government agrees that dwindling of fresh water supplies inequitable access to water and corporate control of water are undermining the interests of low income groups in andhra pradesh and telangana,water,62,67
1,whether it is a fact that government had envisaged a financial package plan for payment of cane price arrears of previous sugarcane season and timely settlement of cane price for current season to sugarcane farmers,sugarcane,122,131
0,whether governments attention has been drawn to the mid day meal tragedy at two schools in bihar,schools,80,87
2,a whether anganwadi workers asha mid day meal work adult education teacher informal school teachers and similar type of workers including domestic workers are also being covered by any social security scheme,adult,51,56
2,whether government is considering to set up an independent body to measure road quality and bringing the entire national highways network under road asset management system,road,75,79
0,a : whether it is a fact that there has been a suggestion to make a three way split of railways such as passenger and freight sections under separate entities and the operations alone staying under the direct control of the railway board,railways,87,95
0,whether it is a fact that the countrya s power deficit includes 30 000 mw shortage due to the repair work of the existing power plants,power,41,46
0,whether government has received any complaints regarding discrimination against the students coming from other states in nits situated in different states of the country,students,84,92
0,whether cases of jawans of police and paramilitary forces selling cartridges and weapons to maoists in different parts of the country have come to notice of government,jawans,17,23
0,whether a number of research studies have proved a point that an indiscriminate destruction of forest cover has led to two billion tonnes of extra carbon dioxide getting released into environment each year and resulting in a massive depletion of ozone layer,depletion,233,242
0,whether it is a fact that government is going to commence pradhan mantrimudra yojana for meeting the shortage of capital of micro units: b if so the steps taken by government in this regard and the complete detailsthereof: and c if not the reasons therefor?,yojana,78,84
1,whether the power generation capacity is sufficient to meet the rapidly growing demand of power in the country,power,12,17
2,whether it is a fact that national commission for other backward classes obcs has submitted a report to the government recommending a new creamy layer for private sector autonomous bodies universities etc for jobs and educational opportunities,universities,188,200
0,whether government is aware that terrorists and organized criminals have developed various channels of communications with the help of technology,terrorists,33,43
2,the details of grid interactive power targets set and achieved during the last three years for generation of energy solar power biomass power and gasification from wastes in the country,power,32,37
0,in the wake of unprecedented increase and use of vehicles on roads leading to lot of traffic congestion and the related problems in and around major metro cities in particular what are the long term and short term measures taken or being taken to manage and tide over this major problem,roads,61,66
1,whether it is a fact that china objected to construction of roads on our side of the borders in the border states of the country,roads,60,65
2,whether it is a fact that many schools in the tea gardens are running with a single teacher and the ministry has already agreed on this,schools,31,38
1,the details of the total loans disbursed by the public sector banks in the last two years and in the current year,last,75,79
0,whether terrorists have sabotaged railway tracks and carried out explosions to derail trains if so the details thereof,railway,34,41
1,whether it is a fact that government had decided to infuse rs 7 900 crore into state bank of india sbi,bank,85,89
0,the loss incurred or to be incurred by the banks as a result of corporate debt restructuring,banks,43,48
2,whether it is a fact that government is committed to strengthen road transport to every corner of the country through national highways,road,64,68
1,the budget allocation under the ministry for the state of nagaland for the financial year 2014 2015,year,85,89
2,the details of turnaround plan approved by the air india board,air,47,50
2,whether rbi has asked banks to locate and refund unclaimed deposits estimated at over rs 1700 crore and instructed banks to play a more pro active role in finding the whereabouts of the account holders of unclaimed deposits or inoperative accounts in public interest,rbi,8,11
0,whether government proposes to come up with a new water security plan keeping in view the prevailing water crisis in almost all parts of the country,water,50,55
1,whether government has given a loan of 500 million dollar to myanmar with a view to construct highways which would be a part of the india thailand highway,highways,94,102
1,whether the funds provided to government schools for maintaining their toilets are insufficient,schools,41,48
1,whether government is mulling over any plan for establishing water grid in rivers and if so the details of the said plan,water,61,66
2,whether there is a provision of total amount of ?? 146 29 lakh under fresh water aquaculture development scheme grant to fisheries development agencies under which a proposal for approval of an amount of ?? 120 31 lakh and revalidation approval for an amount of ?? 25 98 lakh was sent against which approval of revalidation amount of ?? 25 98 lakh has been received and approval for the rest amount of ?? 120 31 lakh is awaited,water,75,80
1,whether it is a fact that government has constituted an inter ministerial group to decide issues relating to the ganga river,ganga,113,118
1,the details of 17 premium trains announced recently,trains,26,32
0,whether government has conducted any survey in the state of assam regarding schools which do not have toilets and the number of co educational schools in which there are no separate toilets for girl and boy students,schools,76,83
1,the total requirement of medals in the details armed forces from 2013 to 2016,forces,53,59
2,whether students and teachers of indian institute of technology iit have prepared a satellite named jugnu,students,8,16
2,whether government has identified water rich and water deficit regions in the country,water,34,39
2,the target of awarding the contract and actual contract awarded by the national highways authority of india nhai since the year 2009 and during last quarter of april june 2012,highways,80,88
2,the number of subscribers who applied for number portability after implementation of the mobile number portability regulations 2009 along with the details thereof state wise,subscribers,14,25
1,whether government proposes to introduce new schemes for the development and promotion of tourism in the next few years,tourism,90,97
2,whether government has got any survey of rural schools in andhra pradesh and telangana in respect of basic needs like drinking water and toilets,drinking,118,126
0,whether it is a fact that according to trai parameters the call drop rate should not be more than 2 per cent and for the worst affected areas it should not be more than 3 per cent and most of the operators were not achieving this benchmark if so the details thereof,operators,196,205
1,the number of existing fishing harbours and fish landing centres in andhra pradesh with details their locations,landing,49,56
1,whether various studies have revealed that main reasons of stunted physical growth of children is poverty and malnutrition and a collective effort by inclusion of various stakeholders is needed to deal therewith if so the details thereof,children,86,94
2,whether current structure of telecom regulator trai working with or through telecom ministry dot poses a serious conflict of interest and influences the trai`s ability independence and willingness to set and meet measurable results,telecom,29,36
1,whether there are rampant and unchecked anomalies and corruption in distribution of grains and other items under the public distribution system in various states of the north eastern region particularly in assam,grains,84,90
1,whether government proposes to open new indian institutes of forest management iifms in various states including madhya pradesh,institutes,47,57
1,what is the policy of the airports authority of india aai ministry with regard to renting leasing out space at airports run by private operators,airports,26,34
0,the number of police personnel died in encounters with the naxalites and maoists in different states,encounters,39,49
0,whether the ministry rejected a proposal by domestic airlines for a massive hike in airfares and announced the formation of an economic advisory council to look into tariff related issues,airlines,53,61
0,whether there is no encouraging response for concessional pass scheme for persons below poverty line in mumbai city mumbai sub urban and thane districts of maharashtra though more than 65 lakh persons travel daily by suburban railway trains,railway,226,233
2,whether the solar power projects in the country are getting indigenous raw materials like solar panels and related items,power,18,23
1,whether government is aware that after the ministrys proposal to abolish development fee currently levied at the delhi and mumbai airports the airports may still levy a user development fee udf,airports,130,138
2,whether it is a fact that gujarat contributes a major share in passenger and goods traffic to western railway,passenger,63,72
1,whether it is a fact that railways have decided to convert narrow gauge line into broad gauge line from gwalior to sheopur kalan in madhya pradesh,railways,26,34
1,the details of hydro electric projects cleared in different states that would cause displacement of tribal population,hydro,15,20
1,whether railways have taken any steps to speed up electrification projects and to reduce carbon footprint if so the details thereof,railways,8,16
1,whether it is a fact that delhi bhubaneshwar flight often runs late,flight,45,51
1,whether a national service scheme nss is in operation with a view to develop thepersonality and character of the young students of the country through self help communityservice,students,119,127
0,whether it is a fact that several private airlines owe more than rs 1000 crores to oil companies on account of non payment of aviation turbine fuel atf charges,fuel,143,147
1,the details of vehicles impounded by delhi police delhi traffic police during the last year and the current year so far,last,82,86
1,whether railways has any plan to lay new railway line from jajpur keonjhar road to dhamera port via jajpur navi gaya and aradi akhandamani,railways,8,16
1,the amount of funds distributed by planning commission among all states according to gadgil formula for the last three years state wise,last,108,112
2,whether it is a fact that entry of major players having experience in deep water oil and gas explorations will prove to be a major boost to energy resources of the country,energy,140,146
1,whether it is a fact that per capita availability of pulses in the country has declined to 34 grams from 66 grams during last five decades,last,121,125
2,whether government proposes to create special safety fund for railway passengers and railway safety under rashtriya rail sanraksha kosh rrsk,railway,62,69
0,what are the stringent measures taken by government to restrict illegal extraction of water like illegal bore wells and tube wells,water,86,91
1,whether it is a fact that government is seriously contemplating expediting the construction of rural roads,roads,101,106
0,whether it is a fact that recently terrorists from across the border came inboats in kishanganga river in jammu & kashmir for infiltration into the countrywhich was foiled by our security forces,terrorists,35,45
1,the details of the schemes which are under implementation for the development of handloom sector and welfare of handloom weavers at present,handloom,81,89
0,whether rte act does not provide for free education after class viii in private schools to children belonging to scheduled castes scheduled tribes other backward classes and economically weaker sections,schools,80,87
0,whether it is a fact that telecom companies fix national and international roaming charges and call transfer rates arbitrarily without informing the consumers,telecom,26,33
2,whether tours by students to factories public utilities like thermal power plants milk processing units and newspaper presses formed a part of curricula to gain first hand knowledge of how people and things work for the betterment of the community,thermal,61,68
1,whether the project pertaining to six laning of national highways in the country are hampered due to the non availability of required land,laning,38,44
1,the details of salary and allowances being paid to the pilots and co pilots of air india at present,pilots,55,61
0,whether it is a fact that a steep rise in water pollution is the main cause formajority of people in the country suffering from cancer,water,42,47
2,whether it is a fact that banks loan growth fell below rbi projection,banks,26,31
0,whether government has taken any necessary steps to address the crisis in traditional sectors like jute textiles plantation handloom coir etc,textiles,104,112
0,the number of trains which stop at rajahmundry in south central railway everyday,trains,14,20
1,whether it is a fact that cultivation becomes impossible on large area of land throughout the year in bihar due to water logging during rainy season,water,115,120
0,whether it is a fact that majority of recent train accidents are due to human error,train,45,50
1,the amount sanctioned under sarva shiksha abhiyan ssa to different states including uttar pradesh and maharashtra during the last three years state wise,last,125,129
